region,date,consumption
Bretagne,2019-01-15,3399
Bretagne,2019-01-16,3479
Bretagne,2019-01-17,3536
Bretagne,2019-01-18,3745
Bretagne,2019-01-19,3189
Bretagne,2019-01-20,3037
Bretagne,2019-01-21,3698
Bretagne,2019-01-22,3631
Bretagne,2019-01-23,3640
Bretagne,2019-01-24,3703
Bretagne,2019-01-25,3328
Bretagne,2019-01-26,2947
Bretagne,2019-01-27,2986
Bretagne,2019-01-28,3478
Bretagne,2019-01-29,3731
Bretagne,2019-01-30,3892
Bretagne,2019-01-31,4048
Bretagne,2019-02-01,3877
Bretagne,2019-02-02,3509
Bretagne,2019-02-03,3283
Bretagne,2019-02-04,3652
Bretagne,2019-02-05,3648
Bretagne,2019-02-06,3359
Bretagne,2019-02-07,3353
Bretagne,2019-02-08,3346
Bretagne,2019-02-09,2979
Bretagne,2019-02-10,2818
Bretagne,2019-02-11,3371
Bretagne,2019-02-12,3444
Bretagne,2019-02-13,3391
Bretagne,2019-02-14,3394
Bretagne,2019-02-15,3191
Bretagne,2019-02-16,2835
Bretagne,2019-02-17,2617
Bretagne,2019-02-18,3140
Bretagne,2019-02-19,3343
Bretagne,2019-02-20,3293
Bretagne,2019-02-21,3172
Bretagne,2019-02-22,3086
Bretagne,2019-02-23,2590
Bretagne,2019-02-24,2413
Bretagne,2019-02-25,2908
Bretagne,2019-02-26,2928
Bretagne,2019-02-27,2830
Bretagne,2019-02-28,2817
Bretagne,2019-03-01,2850
Bretagne,2019-03-02,2457
Bretagne,2019-03-03,2390
Bretagne,2019-03-04,3057
Bretagne,2019-03-05,3136
Bretagne,2019-03-06,3031
Bretagne,2019-03-07,3077
Bretagne,2019-03-08,3199
Bretagne,2019-03-09,2645
Bretagne,2019-03-10,2397
Bretagne,2019-03-11,2953
Bretagne,2019-03-12,3222
Bretagne,2019-03-13,3291
Bretagne,2019-03-14,3267
Bretagne,2019-03-15,3063
Bretagne,2019-03-16,2676
Bretagne,2019-03-17,2631
Bretagne,2019-03-18,3223
Bretagne,2019-03-19,3187
Bretagne,2019-03-20,3061
Bretagne,2019-03-21,2952
Bretagne,2019-12-22,2863
Bretagne,2019-12-23,3195
Bretagne,2019-12-24,2877
Bretagne,2019-12-25,2602
Bretagne,2019-12-26,2956
